iso3_country,country_name,emissions_2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,emissions_2025,change_2015_2025,percent_change_2015_2025
ISL,ISL,8223584.229924407,8653511.05509801,9108852.768504309,9489451.228437455,8994018.802050587,7835241.165701726,8909851.633188669,9441037.187171267,9631631.235521024,9749929.163138686,9836851.4799131,1613267.2499886935,19.617568263218523
ISR,ISR,84299408.48527108,83613641.09997651,83208494.11172584,85060029.54108326,88130857.20920812,86086981.84275834,88572750.73444377,92603895.3641811,92209488.04240815,92334988.13574496,93951283.5506936,9651875.065422503,11.449516952552395
ITA,ITA,448231083.24313295,452854996.43417966,454350234.94730335,449229721.6014473,438084869.5249302,391278675.7335887,414984168.39982855,417981551.1718487,387119088.7356648,375040905.2271464,377644987.1676097,-70586096.07552326,-15.747702181830933
JAM,JAM,10547344.20744506,10994502.81201215,10659731.776111912,12274243.575264657,11991159.668473972,9121038.872822097,9759803.650520736,10994986.055481533,11203939.793264048,11339535.085955828,11230799.380855726,683455.1734106652,6.479879294431619
JEY,JEY,974317.675282302,1014585.3249662626,1010187.6561275978,1028534.7637060784,1051504.7902358354,1001079.6698996496,1060556.125584236,1055546.882420294,1059094.4707576493,1053166.644689601,1070884.1204534462,96566.44517114408,9.911186835768389
JOR,JOR,37967969.44498815,37154271.49015962,39537034.16802497,38637848.36448335,36503297.17023744,33627041.61090624,36308274.31897192,37016625.64661687,36735743.22658813,37145416.87083211,38921969.0898326,953999.64484445,2.512643311691192
JPN,JPN,1572615524.4759512,1522178993.3296728,1507676768.3882158,1465251609.4243674,1421790682.0783637,1337819353.947713,1364743133.1623847,1363928562.5852425,1310742577.699653,1304086037.6078851,1288640112.983194,-283975411.4927571,-18.057523092771664
KAZ,KAZ,313853597.1143459,327102431.43773484,347015887.46640766,357433327.05171543,356020295.7498316,373622572.6391719,378788831.89528537,392638001.50845873,404450692.4292066,388098080.7585544,398779125.6152464,84925528.5009005,27.058962931038096
KEN,KEN,86655598.08870713,93436947.22186698,89718679.58603635,92945641.83661932,102686833.56539278,114431353.65423708,107254376.68328243,102215869.54676662,108947989.28970914,115942359.88905925,116662518.23243476,30006920.14372763,34.627791862921896
KGZ,KGZ,23747344.81626748,25597468.16750581,22056556.46294212,23180103.46112344,21178785.78965225,21208095.40221884,23313882.59447059,23829779.37003128,23935856.90079232,24715357.868453834,25037182.69744239,1289837.8811749108,5.431503568733049
KHM,KHM,31836456.16844417,35443762.170713075,34005940.99284942,36457648.56701183,41105073.01447216,42375699.229253374,43506558.74585797,44408843.6491304,46502728.12209968,49735412.37819102,50095207.43147132,18258751.263027143,57.35170763486218
KIR,KIR,321344.75481069245,249231.2529831045,236798.57461123032,259218.62098483497,399669.6633823009,336200.00715084583,296633.9727693839,301700.1148014811,362871.3144970377,338846.19577232946,320366.04704621166,-978.7077644807868,-0.3045662796199532
