iso3_country,country_name,year,sector,sector_clean,gas,emissions
ABW,ABW,2024,fossil-fuel-operations,Fossil Fuel Operations,co2e_100yr,0.0
ABW,ABW,2024,manufacturing,Manufacturing,co2e_100yr,45898.07923248353
ABW,ABW,2024,mineral-extraction,Mineral Extraction,co2e_100yr,0.0
ABW,ABW,2024,power,Power,co2e_100yr,750475.624275612
ABW,ABW,2024,transportation,Transportation,co2e_100yr,860846.0151243098
ABW,ABW,2024,waste,Waste,co2e_100yr,22469.07088243324
ABW,ABW,2025,agriculture,Agriculture,co2e_100yr,0.0
ABW,ABW,2025,buildings,Buildings,co2e_100yr,49079.73535650622
ABW,ABW,2025,fluorinated-gases,Fluorinated Gases,co2e_100yr,0.0
ABW,ABW,2025,fossil-fuel-operations,Fossil Fuel Operations,co2e_100yr,0.0
ABW,ABW,2025,manufacturing,Manufacturing,co2e_100yr,45898.079232483535
ABW,ABW,2025,mineral-extraction,Mineral Extraction,co2e_100yr,0.0
ABW,ABW,2025,power,Power,co2e_100yr,748522.624275612
ABW,ABW,2025,transportation,Transportation,co2e_100yr,850420.173917407
ABW,ABW,2025,waste,Waste,co2e_100yr,22433.336346264878
AFG,AFG,2015,agriculture,Agriculture,co2e_100yr,18705508.37574793
AFG,AFG,2015,buildings,Buildings,co2e_100yr,1363937.936488787
AFG,AFG,2015,fluorinated-gases,Fluorinated Gases,co2e_100yr,466886.0266569998
AFG,AFG,2015,fossil-fuel-operations,Fossil Fuel Operations,co2e_100yr,1224701.627758107
AFG,AFG,2015,manufacturing,Manufacturing,co2e_100yr,3117134.091757001
AFG,AFG,2015,mineral-extraction,Mineral Extraction,co2e_100yr,65226.18400546644
AFG,AFG,2015,power,Power,co2e_100yr,2368312.4480908043
AFG,AFG,2015,transportation,Transportation,co2e_100yr,11451393.510665707
AFG,AFG,2015,waste,Waste,co2e_100yr,3771767.983361542
AFG,AFG,2016,agriculture,Agriculture,co2e_100yr,18496897.773565285
AFG,AFG,2016,buildings,Buildings,co2e_100yr,1192996.6531518216
AFG,AFG,2016,fluorinated-gases,Fluorinated Gases,co2e_100yr,533029.8572849998
AFG,AFG,2016,fossil-fuel-operations,Fossil Fuel Operations,co2e_100yr,1387569.8171906928
