OBJECTID,Shape,Country Name,iso3_country,Continent,LAND_TYPE,Land Rank,Affiliated Country,ORIG_FID,centroid_lon,centroid_lat
384,Point,Montenegro,MNE,Europe,Very small island,1,Montenegro,384,18.691692,42.410829
385,Point,Montenegro,MNE,Europe,Primary land,5,Montenegro,385,19.252224,42.788938
386,Point,Montserrat,MSR,North America,Small island,2,United Kingdom,386,-62.189612,16.739332
387,Point,Morocco,MAR,Africa,Very small island,1,Morocco,387,-6.279442,34.863041
388,Point,Morocco,MAR,Africa,Small island,2,Morocco,388,-9.786638,31.496942
389,Point,Morocco,MAR,Africa,Primary land,5,Morocco,389,-5.024864,32.780208
390,Point,Mozambique,MOZ,Africa,Small island,2,Mozambique,390,36.329074,-18.684362
391,Point,Mozambique,MOZ,Africa,Very small island,1,Mozambique,391,40.492167,-15.56646
392,Point,Mozambique,MOZ,Africa,Primary land,5,Mozambique,392,38.181222,-14.300407
393,Point,Myanmar,MMR,Asia,Small island,2,Myanmar,393,93.637895,18.797911
394,Point,Myanmar,MMR,Asia,Very small island,1,Myanmar,394,96.877205,16.959303
395,Point,Myanmar,MMR,Asia,Medium island,3,Myanmar,395,95.507784,16.053786
396,Point,Myanmar,MMR,Asia,Primary land,5,Myanmar,396,96.533081,21.417306
397,Point,Namibia,NAM,Africa,Primary land,5,Namibia,397,17.229413,-22.254074
398,Point,Namibia,NAM,Africa,Very small island,1,Namibia,398,15.15417,-26.617514
399,Point,Namibia,NAM,Africa,Small island,2,Namibia,399,15.194779,-27.01426
400,Point,Nauru,NRU,Oceania,Primary land,5,Nauru,400,166.9345,-0.528643
401,Point,Nepal,NPL,Asia,Primary land,5,Nepal,401,83.930705,28.271019
402,Point,Netherlands,NLD,Europe,Primary land,5,Netherlands,402,5.794757,52.324139
403,Point,Netherlands,NLD,Europe,Very small island,1,Netherlands,403,4.766689,51.746227
404,Point,Netherlands,NLD,Europe,Small island,2,Netherlands,404,4.460447,51.770973
405,Point,New Caledonia,NCL,Oceania,Medium island,3,France,405,167.233088,-20.943542
406,Point,New Caledonia,NCL,Oceania,Small island,2,France,406,167.475859,-22.607243
407,Point,New Caledonia,NCL,Oceania,Very small island,1,France,407,167.535932,-22.64176
408,Point,New Caledonia,NCL,Oceania,Primary land,5,France,408,165.514346,-21.411391
409,Point,New Zealand,NZL,Oceania,Primary land,5,New Zealand,409,170.44079,-44.044526
410,Point,New Zealand,NZL,Oceania,Medium island,3,New Zealand,410,167.838193,-46.944534
411,Point,New Zealand,NZL,Oceania,Small island,2,New Zealand,411,166.653773,-45.669254
412,Point,New Zealand,NZL,Oceania,Very small island,1,New Zealand,412,166.854082,-45.637495
413,Point,Nicaragua,NIC,North America,Primary land,5,Nicaragua,413,-85.042675,12.848401
414,Point,Nicaragua,NIC,North America,Small island,2,Nicaragua,414,-82.767322,14.382307
415,Point,Nicaragua,NIC,North America,Very small island,1,Nicaragua,415,-83.556186,12.895428
416,Point,Niger,NER,Africa,Primary land,5,Niger,416,9.428654,17.477463
417,Point,Nigeria,NGA,Africa,Medium island,3,Nigeria,417,5.638602,5.255674
418,Point,Nigeria,NGA,Africa,Primary land,5,Nigeria,418,8.137012,9.683992
419,Point,Nigeria,NGA,Africa,Very small island,1,Nigeria,419,7.3982,4.540388
420,Point,Nigeria,NGA,Africa,Small island,2,Nigeria,420,5.688188,5.089439
421,Point,Niue,NIU,Oceania,Small island,2,New Zealand,421,-169.858555,-19.052548
422,Point,Norfolk Island,NFK,Oceania,Very small island,1,Australia,422,167.964044,-29.072676
423,Point,Norfolk Island,NFK,Oceania,Small island,2,Australia,423,167.952291,-29.03266
424,Point,North Korea,PRK,Asia,Very small island,1,"Korea, Democratic People's Republic of",424,125.542849,38.812171
425,Point,North Korea,PRK,Asia,Small island,2,"Korea, Democratic People's Republic of",425,124.881349,39.558602
426,Point,North Korea,PRK,Asia,Primary land,5,"Korea, Democratic People's Republic of",426,127.190976,40.176208
427,Point,North Macedonia,MKD,Europe,Primary land,5,North Macedonia,427,21.701679,41.603451
428,Point,Northern Mariana Islands,MNP,Oceania,Small island,2,United States,428,145.75349,15.188796
429,Point,Northern Mariana Islands,MNP,Oceania,Primary land,5,United States,429,145.832853,17.59975
430,Point,Northern Mariana Islands,MNP,Oceania,Very small island,1,United States,430,145.712298,15.241421
431,Point,Norway,NOR,Europe,Primary land,5,Norway,431,24.510622,69.698088
432,Point,Norway,NOR,Europe,Small island,2,Norway,432,18.41922,80.304537
433,Point,Norway,NOR,Europe,Medium island,3,Norway,433,21.333399,78.415252
434,Point,Norway,NOR,Europe,Very small island,1,Norway,434,23.60148,80.174492
435,Point,Oman,OMN,Asia,Small island,2,Oman,435,56.024354,17.508855
436,Point,Oman,OMN,Asia,Very small island,1,Oman,436,54.800794,16.940782
437,Point,Oman,OMN,Asia,Medium island,3,Oman,437,58.708662,20.316836
438,Point,Oman,OMN,Asia,Primary land,5,Oman,438,57.878717,22.000843
439,Point,Pakistan,PAK,Asia,Primary land,5,Pakistan,439,69.470777,30.149095
440,Point,Pakistan,PAK,Asia,Very small island,1,Pakistan,440,67.296083,24.588014
441,Point,Pakistan,PAK,Asia,Small island,2,Pakistan,441,67.799284,23.89081
442,Point,Palau,PLW,Oceania,Primary land,5,Palau,442,134.565218,7.499462
443,Point,Palau,PLW,Oceania,Very small island,1,Palau,443,134.369331,7.194217
444,Point,Palau,PLW,Oceania,Small island,2,Palau,444,134.396014,7.244617
445,Point,Palestinian Territory,PSE,Asia,Primary land,5,"Palestine, State of",445,35.255221,31.943784
446,Point,Panama,PAN,North America,Small island,2,Panama,446,-81.75727,7.470766
447,Point,Panama,PAN,North America,Very small island,1,Panama,447,-79.535092,8.777028
448,Point,Panama,PAN,North America,Primary land,5,Panama,448,-81.268105,8.452859
449,Point,Papua New Guinea,PNG,Asia,Very small island,1,Papua New Guinea,449,150.581133,-8.330894
450,Point,Papua New Guinea,PNG,Asia,Primary land,5,Papua New Guinea,450,144.271385,-6.614516
451,Point,Papua New Guinea,PNG,Asia,Small island,2,Papua New Guinea,451,154.626699,-5.221762
452,Point,Papua New Guinea,PNG,Asia,Medium island,3,Papua New Guinea,452,155.643827,-6.539535
453,Point,Paraguay,PRY,South America,Primary land,5,Paraguay,453,-58.383729,-23.272757
454,Point,Peru,PER,South America,Very small island,1,Peru,454,-76.201357,-13.634959
455,Point,Peru,PER,South America,Primary land,5,Peru,455,-71.820374,-13.618397
456,Point,Peru,PER,South America,Small island,2,Peru,456,-80.855368,-6.436785
457,Point,Peter I Island,ATA,Antarctica,Small island,2,Norway,457,-90.589578,-68.808311
458,Point,Philippines,PHL,Asia,Primary land,5,Philippines,458,120.86186,14.164682
459,Point,Philippines,PHL,Asia,Medium island,3,Philippines,459,123.717713,10.313904
460,Point,Philippines,PHL,Asia,Very small island,1,Philippines,460,120.436528,17.533611
461,Point,Philippines,PHL,Asia,Small island,2,Philippines,461,122.612251,10.57298
462,Point,Pitcairn,PCN,Oceania,Small island,2,United Kingdom,462,-128.322792,-24.37681
463,Point,Pitcairn,PCN,Oceania,Very small island,1,United Kingdom,463,-124.784322,-24.687486
464,Point,Poland,POL,Europe,Primary land,5,Poland,464,19.134369,51.799392
465,Point,Poland,POL,Europe,Very small island,1,Poland,465,14.622185,53.538238
466,Point,Poland,POL,Europe,Small island,2,Poland,466,14.533963,53.917581
467,Point,Portugal,PRT,Europe,Very small island,1,Portugal,467,-8.761009,38.510268
468,Point,Portugal,PRT,Europe,Small island,2,Portugal,468,-7.92421,36.984577
469,Point,Portugal,PRT,Europe,Primary land,5,Portugal,469,-7.958793,39.726586
470,Point,Puerto Rico,PRI,North America,Primary land,5,United States,470,-66.47944,18.224829
471,Point,Puerto Rico,PRI,North America,Very small island,1,United States,471,-67.109052,17.918195
472,Point,Puerto Rico,PRI,North America,Small island,2,United States,472,-65.441383,18.123314
473,Point,Qatar,QAT,Asia,Small island,2,Qatar,473,51.558728,25.362753
474,Point,Qatar,QAT,Asia,Very small island,1,Qatar,474,51.290537,26.143322
475,Point,Qatar,QAT,Asia,Primary land,5,Qatar,475,51.192761,25.287261
476,Point,Réunion,REU,Africa,Medium island,3,France,476,55.53268,-21.133474
477,Point,Romania,ROU,Europe,Very small island,1,Romania,477,28.69021,44.129329
478,Point,Romania,ROU,Europe,Small island,2,Romania,478,29.415596,45.422769
479,Point,Romania,ROU,Europe,Primary land,5,Romania,479,24.933256,45.880445
480,Point,Russian Federation,RUS,Asia,Small island,2,Russian Federation,480,20.102926,54.649284
481,Point,Russian Federation,RUS,Europe,Primary land,5,Russian Federation,481,21.45609,54.708087
482,Point,Russian Federation,RUS,Asia,Very small island,1,Russian Federation,482,95.037125,81.20008
483,Point,Russian Federation,RUS,Asia,Medium island,3,Russian Federation,483,63.964757,80.821389
484,Point,Russian Federation,RUS,Asia,Very small island,1,Russian Federation,484,20.358893,54.687155
485,Point,Russian Federation,RUS,Asia,Primary land,5,Russian Federation,485,103.661622,61.146759
486,Point,Russian Federation,RUS,Asia,Small island,2,Russian Federation,486,91.609673,79.695597
487,Point,Russian Federation,RUS,Asia,Large island,4,Russian Federation,487,102.491973,78.642088
488,Point,Rwanda,RWA,Africa,Primary land,5,Rwanda,488,29.925845,-1.999524
489,Point,Saba,BES,North America,Small island,2,Netherlands,489,-63.237515,17.631364
490,Point,Saint Barthelemy,BLM,North America,Small island,2,France,490,-62.832894,17.895607
491,Point,Saint Barthelemy,BLM,North America,Very small island,1,France,491,-62.851167,17.93344
492,Point,Saint Eustatius,BES,North America,Small island,2,Netherlands,492,-62.976254,17.490831
493,Point,Saint Helena,SHN,Africa,Very small island,1,United Kingdom,493,-12.479727,-37.411311
494,Point,Saint Helena,SHN,Africa,Small island,2,United Kingdom,494,-12.28509,-37.112685
495,Point,Saint Kitts and Nevis,KNA,North America,Small island,2,Saint Kitts and Nevis,495,-62.764913,17.338958
496,Point,Saint Kitts and Nevis,KNA,North America,Very small island,1,Saint Kitts and Nevis,496,-62.610337,17.22662
497,Point,Saint Lucia,LCA,North America,Very small island,1,Saint Lucia,497,-60.931522,13.723946
498,Point,Saint Lucia,LCA,North America,Primary land,5,Saint Lucia,498,-60.966728,13.898354
499,Point,Saint Martin,MAF,North America,Primary land,5,France,499,-63.045144,18.08763
500,Point,Saint Martin,MAF,North America,Very small island,1,France,500,-63.014256,18.106375
501,Point,Saint Martin,MAF,North America,Small island,2,France,501,-62.979231,18.119344
502,Point,Saint Pierre and Miquelon,SPM,North America,Very small island,1,France,502,-56.129878,46.78986
503,Point,Saint Pierre and Miquelon,SPM,North America,Small island,2,France,503,-56.321466,46.854202
504,Point,Saint Vincent and the Grenadines,VCT,North America,Very small island,1,Saint Vincent and the Grenadines,504,-61.396176,12.58634
505,Point,Saint Vincent and the Grenadines,VCT,North America,Primary land,5,Saint Vincent and the Grenadines,505,-61.18895,13.251275
506,Point,Saint Vincent and the Grenadines,VCT,North America,Small island,2,Saint Vincent and the Grenadines,506,-61.232604,13.011744
507,Point,Samoa,WSM,Oceania,Primary land,5,Samoa,507,-172.447355,-13.620976
508,Point,Samoa,WSM,Oceania,Small island,2,Samoa,508,-172.110332,-13.849956
509,Point,Samoa,WSM,Oceania,Very small island,1,Samoa,509,-171.410005,-14.073303
510,Point,San Marino,SMR,Europe,Primary land,5,San Marino,510,12.462582,43.938744
511,Point,Sao Tome and Principe,STP,Africa,Primary land,5,São Tomé and Príncipe,511,6.60241,0.238965
512,Point,Sao Tome and Principe,STP,Africa,Very small island,1,São Tomé and Príncipe,512,7.430052,1.513608
513,Point,Sao Tome and Principe,STP,Africa,Small island,2,São Tomé and Príncipe,513,7.397209,1.615223
514,Point,Saudi Arabia,SAU,Asia,Small island,2,Saudi Arabia,514,41.975006,16.703058
515,Point,Saudi Arabia,SAU,Asia,Primary land,5,Saudi Arabia,515,44.487542,24.279335
516,Point,Saudi Arabia,SAU,Asia,Very small island,1,Saudi Arabia,516,37.17157,25.189987
517,Point,Senegal,SEN,Africa,Primary land,5,Senegal,517,-14.447596,14.379851
518,Point,Senegal,SEN,Africa,Small island,2,Senegal,518,-16.57987,13.921767
519,Point,Senegal,SEN,Africa,Very small island,1,Senegal,519,-16.594422,14.027721
520,Point,Serbia,SRB,Europe,Primary land,5,Serbia,520,20.797999,44.058411
521,Point,Seychelles,SYC,Africa,Primary land,5,Seychelles,521,55.467321,-4.678696
522,Point,Seychelles,SYC,Africa,Small island,2,Seychelles,522,46.445674,-9.438109
523,Point,Seychelles,SYC,Africa,Very small island,1,Seychelles,523,46.457955,-9.394223
524,Point,Sierra Leone,SLE,Africa,Small island,2,Sierra Leone,524,-12.544209,7.579933
525,Point,Sierra Leone,SLE,Africa,Primary land,5,Sierra Leone,525,-11.779444,8.571913
526,Point,Sierra Leone,SLE,Africa,Very small island,1,Sierra Leone,526,-12.47798,7.546245
527,Point,Singapore,SGP,Asia,Very small island,1,Singapore,527,103.923239,1.409511
528,Point,Singapore,SGP,Asia,Small island,2,Singapore,528,103.718335,1.277232
529,Point,Singapore,SGP,Asia,Primary land,5,Singapore,529,103.809038,1.355941
530,Point,Sint Maarten,SXM,North America,Primary land,5,Netherlands,530,-63.063165,18.038715
531,Point,Sint Maarten,SXM,North America,Very small island,1,Netherlands,531,-63.018556,18.017605
532,Point,Slovakia,SVK,Europe,Primary land,5,Slovakia,532,19.490301,48.712415
533,Point,Slovenia,SVN,Europe,Primary land,5,Slovenia,533,14.824335,46.122545
534,Point,Solomon Islands,SLB,Oceania,Medium island,3,Solomon Islands,534,159.169868,-8.020046
535,Point,Solomon Islands,SLB,Oceania,Small island,2,Solomon Islands,535,166.048586,-10.717985
536,Point,Solomon Islands,SLB,Oceania,Primary land,5,Solomon Islands,536,160.160313,-9.622933
537,Point,Solomon Islands,SLB,Oceania,Very small island,1,Solomon Islands,537,158.020954,-8.533374
538,Point,Somalia,SOM,Africa,Primary land,5,Somalia,538,46.203805,4.40948
539,Point,Somalia,SOM,Africa,Very small island,1,Somalia,539,42.216795,-0.811299
540,Point,Somalia,SOM,Africa,Small island,2,Somalia,540,43.462877,11.435246
541,Point,South Africa,ZAF,Africa,Very small island,1,South Africa,541,19.417333,-34.683055
542,Point,South Africa,ZAF,Africa,Small island,2,South Africa,542,37.740763,-46.906724
543,Point,South Africa,ZAF,Africa,Primary land,5,South Africa,543,24.672466,-30.087977
544,Point,South Georgia and the South Sandwich Islands,SGS,Antarctica,Very small island,1,United Kingdom,544,-34.734092,-55.036174
545,Point,South Georgia and the South Sandwich Islands,SGS,Antarctica,Medium island,3,United Kingdom,545,-36.906468,-54.217458
546,Point,South Georgia and the South Sandwich Islands,SGS,Antarctica,Small island,2,United Kingdom,546,-26.371107,-58.452393
547,Point,South Korea,KOR,Asia,Very small island,1,"Korea, Republic of",547,125.575593,36.6168
548,Point,South Korea,KOR,Asia,Small island,2,"Korea, Republic of",548,128.625967,34.866543
549,Point,South Korea,KOR,Asia,Primary land,5,"Korea, Republic of",549,128.71616,36.575678
550,Point,South Sudan,SSD,Africa,Primary land,5,South Sudan,550,30.347453,7.291111
551,Point,Spain,ESP,Europe,Small island,2,Spain,551,1.431386,38.708187
552,Point,Spain,ESP,Europe,Very small island,1,Spain,552,-9.185432,42.880246
553,Point,Spain,ESP,Europe,Medium island,3,Spain,553,2.956713,39.6138
554,Point,Spain,ESP,Europe,Primary land,5,Spain,554,-3.549563,40.473146
555,Point,Spain,ESP,Africa,Very small island,1,Spain,555,-2.440916,35.178588
556,Point,Spain,ESP,Africa,Primary land,5,Spain,556,-5.356162,35.892214
557,Point,Sri Lanka,LKA,Asia,Very small island,1,Sri Lanka,557,81.701576,7.652012
558,Point,Sri Lanka,LKA,Asia,Medium island,3,Sri Lanka,558,80.248047,9.723813
559,Point,Sri Lanka,LKA,Asia,Small island,2,Sri Lanka,559,79.689975,9.512457
560,Point,Sri Lanka,LKA,Asia,Primary land,5,Sri Lanka,560,80.708872,7.583346
561,Point,Sudan,SDN,Africa,Small island,2,Sudan,561,37.266486,20.80558
562,Point,Sudan,SDN,Africa,Very small island,1,Sudan,562,37.664527,18.779762
563,Point,Sudan,SDN,Africa,Primary land,5,Sudan,563,30.021957,16.140895
564,Point,Suriname,SUR,South America,Small island,2,Suriname,564,-57.105555,5.855541
565,Point,Suriname,SUR,South America,Primary land,5,Suriname,565,-55.906972,4.136874
566,Point,Suriname,SUR,South America,Very small island,1,Suriname,566,-57.141969,5.825115
567,Point,Sweden,SWE,Europe,Medium island,3,Sweden,567,18.510739,57.489158
568,Point,Sweden,SWE,Europe,Very small island,1,Sweden,568,22.479593,65.767986
569,Point,Sweden,SWE,Europe,Small island,2,Sweden,569,11.631136,58.015517
570,Point,Sweden,SWE,Europe,Primary land,5,Sweden,570,16.993673,63.452412
571,Point,Switzerland,CHE,Europe,Primary land,5,Switzerland,571,8.222167,46.973013
572,Point,Syria,SYR,Asia,Very small island,1,Syrian Arab Republic,572,35.859,34.856138
573,Point,Syria,SYR,Asia,Primary land,5,Syrian Arab Republic,573,38.507341,35.041639
574,Point,Tajikistan,TJK,Asia,Primary land,5,Tajikistan,574,69.294201,38.443089
575,Point,Tanzania,TZA,Africa,Primary land,5,"Tanzania, United Republic of",575,34.80887,-6.285391
576,Point,Tanzania,TZA,Africa,Small island,2,"Tanzania, United Republic of",576,39.772948,-7.855338
577,Point,Tanzania,TZA,Africa,Very small island,1,"Tanzania, United Republic of",577,39.352726,-6.357021
578,Point,Thailand,THA,Asia,Small island,2,Thailand,578,98.3441,7.972905
579,Point,Thailand,THA,Asia,Very small island,1,Thailand,579,100.714099,7.024688
580,Point,Thailand,THA,Asia,Primary land,5,Thailand,580,101.02188,15.225166
581,Point,Timor-Leste,TLS,Asia,Very small island,1,Timor-Leste,581,125.841603,-8.477976
582,Point,Timor-Leste,TLS,Asia,Primary land,5,Timor-Leste,582,125.945564,-8.797505
583,Point,Timor-Leste,TLS,Asia,Small island,2,Timor-Leste,583,125.577536,-8.229938
584,Point,Togo,TGO,Africa,Primary land,5,Togo,584,0.975135,8.541338
585,Point,Tokelau,TKL,Oceania,Small island,2,New Zealand,585,-171.784007,-9.165742
586,Point,Tokelau,TKL,Oceania,Very small island,1,New Zealand,586,-171.781651,-9.105756
587,Point,Tonga,TON,Oceania,Small island,2,Tonga,587,-175.275246,-21.159336
588,Point,Tonga,TON,Oceania,Very small island,1,Tonga,588,-173.956388,-18.673404
589,Point,Trinidad and Tobago,TTO,South America,Very small island,1,Trinidad and Tobago,589,-60.519586,11.299714
590,Point,Trinidad and Tobago,TTO,South America,Primary land,5,Trinidad and Tobago,590,-61.296374,10.424091
591,Point,Trinidad and Tobago,TTO,South America,Small island,2,Trinidad and Tobago,591,-60.666251,11.241363
592,Point,Tunisia,TUN,Africa,Small island,2,Tunisia,592,10.87935,33.792436
593,Point,Tunisia,TUN,Africa,Primary land,5,Tunisia,593,9.569856,34.161836
594,Point,Tunisia,TUN,Africa,Very small island,1,Tunisia,594,10.195642,37.082561
595,Point,Turkiye,TUR,Asia,Small island,2,Turkiye,595,25.840088,40.161405
596,Point,Turkiye,TUR,Asia,Primary land,5,Turkiye,596,35.438087,39.028255
597,Point,Turkiye,TUR,Asia,Very small island,1,Turkiye,597,26.736035,40.615432
598,Point,Turkmenistan,TKM,Asia,Primary land,5,Turkmenistan,598,59.378357,39.16253
599,Point,Turkmenistan,TKM,Asia,Small island,2,Turkmenistan,599,53.050908,38.951359
600,Point,Turkmenistan,TKM,Asia,Very small island,1,Turkmenistan,600,54.314498,40.982109
601,Point,Turks and Caicos Islands,TCA,North America,Very small island,1,United Kingdom,601,-71.848184,21.866144
602,Point,Turks and Caicos Islands,TCA,North America,Small island,2,United Kingdom,602,-71.757842,21.775177
603,Point,Tuvalu,TUV,Oceania,Small island,2,Tuvalu,603,178.671188,-7.47021
604,Point,Tuvalu,TUV,Oceania,Very small island,1,Tuvalu,604,179.473099,-10.789013
605,Point,Uganda,UGA,Africa,Primary land,5,Uganda,605,32.390207,1.280718
606,Point,Ukraine,UKR,Europe,Small island,2,Ukraine,606,29.696177,45.393049
607,Point,Ukraine,UKR,Europe,Very small island,1,Ukraine,607,33.260188,46.75819
608,Point,Ukraine,UKR,Europe,Primary land,5,Ukraine,608,31.357996,49.097671
609,Point,United Arab Emirates,ARE,Asia,Very small island,1,United Arab Emirates,609,53.420485,24.389335
610,Point,United Arab Emirates,ARE,Asia,Primary land,5,United Arab Emirates,610,53.978402,23.464871
611,Point,United Arab Emirates,ARE,Asia,Small island,2,United Arab Emirates,611,53.797848,24.188334
612,Point,United Kingdom,GBR,Europe,Small island,2,United Kingdom,612,-7.286684,57.599693
613,Point,United Kingdom,GBR,Europe,Very small island,1,United Kingdom,613,-1.268425,60.498139
614,Point,United Kingdom,GBR,Europe,Primary land,5,United Kingdom,614,-0.234006,52.268903
615,Point,United Kingdom,GBR,Europe,Medium island,3,United Kingdom,615,-6.657195,58.133996
616,Point,United States,USA,North America,Primary land,5,United States,616,-99.706282,40.029014
617,Point,United States,USA,North America,Small island,2,United States,617,-165.80201,61.381431
618,Point,United States,USA,North America,Large island,4,United States,618,-153.547409,57.43495
619,Point,United States,USA,North America,Very small island,1,United States,619,-147.526134,70.396428
620,Point,United States Minor Outlying Islands,UMI,North America,Very small island,1,United States,620,-162.043839,5.878827
621,Point,United States Minor Outlying Islands,UMI,North America,Primary land,5,United States,621,-159.997742,-0.373198
622,Point,United States Minor Outlying Islands,UMI,North America,Small island,2,United States,622,166.644299,19.2825
623,Point,Uruguay,URY,South America,Small island,2,Uruguay,623,-58.106098,-32.986879
624,Point,Uruguay,URY,South America,Very small island,1,Uruguay,624,-55.925868,-34.942088
625,Point,Uruguay,URY,South America,Primary land,5,Uruguay,625,-56.011005,-32.815798
626,Point,US Virgin Islands,VIR,North America,Small island,2,United States,626,-64.818794,17.72804
627,Point,US Virgin Islands,VIR,North America,Primary land,5,United States,627,-64.884455,18.332034
628,Point,US Virgin Islands,VIR,North America,Very small island,1,United States,628,-64.932509,18.326643
629,Point,Uzbekistan,UZB,Asia,Primary land,5,Uzbekistan,629,63.052064,41.840705
630,Point,Vanuatu,VUT,Oceania,Medium island,3,Vanuatu,630,167.47757,-16.265593
631,Point,Vanuatu,VUT,Oceania,Primary land,5,Vanuatu,631,166.872891,-15.241653
632,Point,Vanuatu,VUT,Oceania,Small island,2,Vanuatu,632,169.362885,-19.543209
633,Point,Vanuatu,VUT,Oceania,Very small island,1,Vanuatu,633,167.797091,-14.319976
634,Point,Vatican City,VAT,Europe,Primary land,5,Holy See (Vatican City State),634,12.45292,41.903544
635,Point,Venezuela,VEN,South America,Primary land,5,"Venezuela, Bolivarian Republic of",635,-66.242057,7.106061
636,Point,Venezuela,VEN,South America,Small island,2,"Venezuela, Bolivarian Republic of",636,-62.231067,9.170545
637,Point,Venezuela,VEN,South America,Very small island,1,"Venezuela, Bolivarian Republic of",637,-66.943537,11.820598
638,Point,Venezuela,VEN,South America,Medium island,3,"Venezuela, Bolivarian Republic of",638,-64.249712,11.004954
639,Point,Vietnam,VNM,Asia,Very small island,1,Viet Nam,639,107.303588,20.95392
640,Point,Vietnam,VNM,Asia,Small island,2,Viet Nam,640,106.34079,20.214988
641,Point,Vietnam,VNM,Asia,Primary land,5,Viet Nam,641,106.347027,17.493076
642,Point,Vietnam,VNM,Asia,Medium island,3,Viet Nam,642,106.474271,10.161877
643,Point,Wallis and Futuna,WLF,Oceania,Primary land,5,France,643,-178.133879,-14.283743
644,Point,Wallis and Futuna,WLF,Oceania,Small island,2,France,644,-176.204682,-13.285367
645,Point,Wallis and Futuna,WLF,Oceania,Very small island,1,France,645,-176.146251,-13.280654
646,Point,Yemen,YEM,Asia,Primary land,5,Yemen,646,45.22599,15.237042
647,Point,Yemen,YEM,Asia,Very small island,1,Yemen,647,42.567189,15.856574
648,Point,Yemen,YEM,Asia,Small island,2,Yemen,648,52.31186,12.171076
649,Point,Yemen,YEM,Asia,Medium island,3,Yemen,649,53.920328,12.489675
650,Point,Zambia,ZMB,Africa,Primary land,5,Zambia,650,27.853704,-14.607846
651,Point,Zimbabwe,ZWE,Africa,Primary land,5,Zimbabwe,651,29.872127,-19.023401
