iso3_country,country_name,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,change_2015_2025,percent_change_2015_2025,archetype
BVT,BVT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Undefined baseline
BWA,BWA,19537347.939776976,18432384.282620173,18539075.213563636,19822177.29658844,18260071.34904343,16390851.409105027,17304083.825846337,18019862.76871899,17780121.53296072,17500838.633342538,17342519.82002208,-2194828.1197548956,-11.23401255134708,"Lower-emitting, declining"
CAF,CAF,13115483.810161466,13560235.741780896,13464006.844814135,13839548.888327181,14365987.51368548,14338169.118720913,14578830.529134529,14928909.109376673,15424763.91353625,15334474.331990127,15350342.465201968,2234858.6550405025,17.03984913853505,"Lower-emitting, stable/moderate growth"
CAN,CAN,883321376.26099,880601711.5370444,901168818.5108752,925819192.7798628,924069178.8164212,857506656.1801119,886810912.2870386,915391426.5274061,928392008.6901311,936228249.1343164,934156698.9840609,50835322.72307086,5.755020096791005,"High-emitting, stable/moderate growth"
CCK,CCK,4864.358790126439,5104.7956760633815,5110.743959279978,4999.312551656703,5031.341739651149,4899.152189282298,5313.648412443407,4575.516132060132,4288.9465219675085,4412.03987020708,5081.664937817368,217.3061476909288,4.467313310276612,"Lower-emitting, stable/moderate growth"
CHE,CHE,48794770.355700806,50030080.48667424,49457803.73441112,48318228.090771824,48153540.24411322,42562048.80999191,44230679.87613256,43530899.49253307,43714440.849465944,44048962.77303712,44533106.522528484,-4261663.833172321,-8.733853652975379,"Lower-emitting, stable/moderate growth"
CHL,CHL,122591514.89091304,127257071.3334858,128656170.98604375,133364975.35699193,138239965.37585875,128921593.19215581,135213422.19074604,136419406.0161968,129358212.70835076,127839321.90221474,124503647.43439344,1912132.5434803963,1.5597592909932554,"Lower-emitting, stable/moderate growth"
CHN,CHN,13999522685.976353,14150599414.35231,14496319324.18797,14940081077.713928,15349573726.20533,15707210920.622612,16416686066.585648,16605212746.699286,17360294323.349625,17519937428.87007,17518235252.209835,3518712566.2334824,25.13451812009461,"High-emitting, fast-growing"
CIV,CIV,33196496.383378804,35048525.34882574,36026809.49144525,36595422.71542875,38026625.02192928,37596843.925366215,39143106.96177643,40030556.384755015,41107775.97068189,42214594.682321504,43931332.934595264,10734836.55121646,32.33725760466487,"Lower-emitting, fast-growing"
CMR,CMR,55001351.01332835,55757510.96533087,53732295.97467759,55203128.11125313,56239239.591542,57951332.55256193,57960487.310487404,58718562.15790204,59739101.50274977,60551320.97917366,60422668.8423386,5421317.829010248,9.856699388523225,"Lower-emitting, stable/moderate growth"
COD,COD,47953341.64609596,43905736.08338673,47420814.05252575,47727807.54961236,49786815.8101099,56800758.73333135,59731125.55557988,63124026.699930534,65521050.22117545,67213527.86427383,67859028.27829756,19905686.632201597,41.510530755310114,"Lower-emitting, fast-growing"
COG,COG,28609287.09958465,27801836.50485829,29982530.298517335,33319466.979047894,34300303.073938504,32007158.744653497,30505919.06938757,31545215.627682667,32625413.355653986,33703784.61084601,35188327.928956024,6579040.829371374,22.996171860105136,"Lower-emitting, stable/moderate growth"
COK,COK,155775.66309242492,173663.7648501253,175643.43097466498,188698.33318465354,198830.30876903073,131374.80346027375,134623.91585219614,156452.62142170206,175665.0623982878,190293.57467946893,198200.49511611785,42424.83202369293,27.234570010157107,"Lower-emitting, fast-growing"
COL,COL,233574383.6481122,233410751.960825,225746761.0518011,236014938.24178547,242957138.49392527,231984805.178613,238410096.57343733,243082155.34700662,250026380.8702108,256571023.20830673,255137547.74988338,21563164.101771176,9.231818902819763,"Lower-emitting, stable/moderate growth"
