cluster,Agriculture,Buildings,Fluorinated Gases,Fossil Fuel Operations,Manufacturing,Mineral Extraction,Power,Transportation,Waste
0,0.14472803549142715,0.08873243946293387,0.02776514609378916,0.10456369153152471,0.15434093178524286,0.002421160867673737,0.16793043336791683,0.2603217223144605,0.04919643908503083
1,0.028416632474356544,0.05105134742279506,0.012765422796513028,0.0043127323284907915,0.06008249653871667,0.0027573276019652857,0.2809072050339765,0.5041929907945473,0.05551384500863863
2,0.42937611931949704,0.06511265991742929,0.021952286677080216,0.02956394662943055,0.07701098332417738,0.0044981296600386045,0.0679369104569111,0.21999695087006385,0.08455201314537167
3,0.10301456600504555,0.05529536040838414,0.03076144846197957,0.2941602307962365,0.11869641450043278,0.004496263947744453,0.22074387805601323,0.13857205566458494,0.03425978215957849
4,0.2792326976624571,0.07871719789433117,0.03817507968088814,0.019756993067014585,0.05794410758672414,0.1030585427249486,0.08695411556166578,0.26574949098582107,0.0704117748361491
