iso3_country,country_name,year,sector,sector_clean,emissions
AFG,AFG,2015,transportation,Transportation,11451393.510665707
AFG,AFG,2015,waste,Waste,3771767.983361542
AFG,AFG,2016,agriculture,Agriculture,18496897.773565285
AFG,AFG,2016,buildings,Buildings,1192996.6531518216
AFG,AFG,2016,fluorinated-gases,Fluorinated Gases,533029.8572849998
AFG,AFG,2016,fossil-fuel-operations,Fossil Fuel Operations,1387569.8171906928
AFG,AFG,2016,manufacturing,Manufacturing,3281190.833780259
AFG,AFG,2016,mineral-extraction,Mineral Extraction,74546.40083726084
AFG,AFG,2016,power,Power,2352941.242856072
AFG,AFG,2016,transportation,Transportation,8127209.558752482
AFG,AFG,2016,waste,Waste,3974537.719035201
AFG,AFG,2017,agriculture,Agriculture,18173343.515815705
AFG,AFG,2017,buildings,Buildings,1126393.173039883
AFG,AFG,2017,fluorinated-gases,Fluorinated Gases,598320.2161909996
AFG,AFG,2017,fossil-fuel-operations,Fossil Fuel Operations,1491910.1444899703
AFG,AFG,2017,manufacturing,Manufacturing,3724798.116962652
AFG,AFG,2017,mineral-extraction,Mineral Extraction,75712.7370948569
AFG,AFG,2017,power,Power,3062361.9409691505
AFG,AFG,2017,transportation,Transportation,7852336.989687432
AFG,AFG,2017,waste,Waste,4155038.8881980353
AFG,AFG,2018,agriculture,Agriculture,18832466.98955632
AFG,AFG,2018,buildings,Buildings,1327451.4327181904
AFG,AFG,2018,fluorinated-gases,Fluorinated Gases,678256.0875429999
AFG,AFG,2018,fossil-fuel-operations,Fossil Fuel Operations,1546900.6293754843
AFG,AFG,2018,manufacturing,Manufacturing,4148774.5968344486
AFG,AFG,2018,mineral-extraction,Mineral Extraction,80373.19282800984
AFG,AFG,2018,power,Power,3293059.906373391
AFG,AFG,2018,transportation,Transportation,10337151.736901265
AFG,AFG,2018,waste,Waste,4349527.868675864
AFG,AFG,2019,agriculture,Agriculture,18907332.888059966
AFG,AFG,2019,buildings,Buildings,1215283.1788544073
AFG,AFG,2019,fluorinated-gases,Fluorinated Gases,748712.7712569996
AFG,AFG,2019,fossil-fuel-operations,Fossil Fuel Operations,1411360.5532152995
AFG,AFG,2019,manufacturing,Manufacturing,4237197.020829281
AFG,AFG,2019,mineral-extraction,Mineral Extraction,79209.27879026467
AFG,AFG,2019,power,Power,3290345.434876751
AFG,AFG,2019,transportation,Transportation,9320701.15297794
AFG,AFG,2019,waste,Waste,4576010.856887605
AFG,AFG,2020,agriculture,Agriculture,18879001.191407576
AFG,AFG,2020,buildings,Buildings,1206058.6254284317
AFG,AFG,2020,fluorinated-gases,Fluorinated Gases,820607.0781049997
AFG,AFG,2020,fossil-fuel-operations,Fossil Fuel Operations,1389066.419378867
AFG,AFG,2020,manufacturing,Manufacturing,4140823.713017442
AFG,AFG,2020,mineral-extraction,Mineral Extraction,78045.14970087139
AFG,AFG,2020,power,Power,3109432.306187387
AFG,AFG,2020,transportation,Transportation,9871338.100639706
AFG,AFG,2020,waste,Waste,4835743.978388335
AFG,AFG,2021,agriculture,Agriculture,17605242.93851773
AFG,AFG,2021,buildings,Buildings,1235290.4762501162
AFG,AFG,2021,fluorinated-gases,Fluorinated Gases,894702.703109
AFG,AFG,2021,fossil-fuel-operations,Fossil Fuel Operations,1196402.6889053453
AFG,AFG,2021,manufacturing,Manufacturing,4478116.222582758
AFG,AFG,2021,mineral-extraction,Mineral Extraction,75715.16867503886
AFG,AFG,2021,power,Power,3040935.380476485
AFG,AFG,2021,transportation,Transportation,10510194.55665371
AFG,AFG,2021,waste,Waste,5016241.462600228
AFG,AFG,2022,agriculture,Agriculture,17833145.90380948
AFG,AFG,2022,buildings,Buildings,1265772.690196574
AFG,AFG,2022,fluorinated-gases,Fluorinated Gases,966851.5760309994
AFG,AFG,2022,fossil-fuel-operations,Fossil Fuel Operations,1193884.6652857023
AFG,AFG,2022,manufacturing,Manufacturing,4352775.332981885
AFG,AFG,2022,mineral-extraction,Mineral Extraction,73385.20162038886
AFG,AFG,2022,power,Power,2754551.6052539656
AFG,AFG,2022,transportation,Transportation,10753756.94570432
AFG,AFG,2022,waste,Waste,5186724.413523247
AFG,AFG,2023,agriculture,Agriculture,18108530.677743305
AFG,AFG,2023,buildings,Buildings,1288901.7168680257
AFG,AFG,2023,fluorinated-gases,Fluorinated Gases,1039564.5054349994
AFG,AFG,2023,fossil-fuel-operations,Fossil Fuel Operations,1321195.2555143824
AFG,AFG,2023,manufacturing,Manufacturing,4651479.555334027
AFG,AFG,2023,mineral-extraction,Mineral Extraction,77311.29697264459
AFG,AFG,2023,power,Power,2831268.810021998
AFG,AFG,2023,transportation,Transportation,11181925.15144787
AFG,AFG,2023,waste,Waste,5298135.187907191
AFG,AFG,2024,agriculture,Agriculture,18075082.187823303
AFG,AFG,2024,buildings,Buildings,1314129.7672218026
AFG,AFG,2024,fluorinated-gases,Fluorinated Gases,1111995.4041889997
AFG,AFG,2024,fossil-fuel-operations,Fossil Fuel Operations,1486958.3167002536
AFG,AFG,2024,manufacturing,Manufacturing,4651479.555242027
AFG,AFG,2024,mineral-extraction,Mineral Extraction,77083.29697264459
AFG,AFG,2024,power,Power,2922106.5753303845
AFG,AFG,2024,transportation,Transportation,12068667.79373436
AFG,AFG,2024,waste,Waste,5422508.995491298
AFG,AFG,2025,agriculture,Agriculture,18076240.94143744
AFG,AFG,2025,buildings,Buildings,1337343.770685803
AFG,AFG,2025,fluorinated-gases,Fluorinated Gases,1111995.4041889997
AFG,AFG,2025,fossil-fuel-operations,Fossil Fuel Operations,1552021.159118824
AFG,AFG,2025,manufacturing,Manufacturing,4527359.157858511
AFG,AFG,2025,mineral-extraction,Mineral Extraction,77083.29697264459
AFG,AFG,2025,power,Power,2921894.575330384
AFG,AFG,2025,transportation,Transportation,12710451.437801337
AFG,AFG,2025,waste,Waste,5460363.32281285
