cluster,country_count,mean_emissions_2025,median_emissions_2025,mean_change_2015_2025,median_change_2015_2025,mean_percent_change_2015_2025,median_percent_change_2015_2025
0,53,305060275.20251715,80530835.21993318,-33264812.238973875,-9987943.10129232,-14.944281060924542,-8.944863581253914
1,35,6426280.547720093,2677713.836958961,410074.61278936797,252235.5619665715,17.19586248341393,16.038050801317876
2,61,88322222.09851998,43931332.934595264,13506687.53627951,4329716.267860211,19.85881060637384,15.008940472007415
3,41,929210567.7802273,248700565.1151356,170885997.40135792,35515992.178465605,25.8607516696761,17.275777318145042
4,7,42844506.56345267,23575519.94940885,5924633.6172566125,2660741.1790114325,19.425581410074617,24.945038225784764
