sector,sector_clean,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,change_2015_2025,percent_change_2015_2025
agriculture,Agriculture,6841724783.778669,6886196720.064519,6889354782.422412,6894258748.841435,6991192117.886142,7117297807.846333,7232742706.75679,7278506195.729332,7310847334.913646,7319648965.64707,7315865232.193117,474140448.4144478,6.930130389614724
buildings,Buildings,3925574467.332427,3951776002.169635,4011942101.697517,4008938444.5249457,3937153007.771002,3875495366.454038,3916362780.614324,3920097522.881915,3951245834.0106034,3995307669.8527255,4039159494.11488,113585026.78245306,2.893462542302459
fluorinated-gases,Fluorinated Gases,1156535942.7710536,1213072050.2467885,1281136293.0956504,1349388187.220505,1405845831.0084765,1466233136.6072276,1535975637.313895,1604932276.9188178,1671810952.343809,1740010882.4873445,1740010882.4873445,583474939.716291,50.4502210556715
fossil-fuel-operations,Fossil Fuel Operations,8795659459.219164,8742127604.17178,8941027631.757473,9081661053.000105,9176852143.244568,8667786322.647156,9027152301.478024,9304292937.212845,9462276038.195864,9426399082.177189,9477681655.911997,682022196.692833,7.754076881386897
manufacturing,Manufacturing,9805347512.71395,9805032457.634594,9878929373.55136,9919615124.566427,10123104344.98515,10200391901.764233,10388609804.974798,10220446418.135954,10336724897.984509,10274816904.788984,10255906428.454985,450558915.74103546,4.595032610081645
mineral-extraction,Mineral Extraction,155418231.25965616,147870202.4982351,143384778.362909,151613688.09620485,160355298.7967483,199768448.4160145,196989521.3245189,208774920.54201737,213865921.644624,202155116.40614647,202155114.409364,46736883.149707854,30.071686423727773
power,Power,13914990451.903986,13912135289.674276,14223973607.64876,14699392142.282368,14567677475.18973,14155862989.79501,15236235233.77693,15468413849.236444,15771523393.88972,16015840989.939226,16049797591.939226,2134807140.03524,15.341779409867543
transportation,Transportation,7710953693.920379,8150008745.978465,8360979047.001452,8656609424.638945,8751142171.129185,7632448490.614372,8190194537.375338,8603062894.375395,8902077143.78757,9187171503.85849,9283171449.27406,1572217755.3536806,20.38940729981661
waste,Waste,1764123606.7385738,1792758854.098595,1827921892.5260816,1867584966.966362,1900976878.27578,1927098180.838828,1961020151.9253087,1992912076.422512,2019101645.707076,2030810990.473398,2036225378.7445304,272101772.00595665,15.424189720413366
