iso3_country,country_name,Agriculture,Buildings,Fluorinated Gases,Fossil Fuel Operations,Manufacturing,Mineral Extraction,Power,Transportation,Waste,emissions_2025,change_2015_2025,percent_change_2015_2025,cluster,PC1,PC2
ABW,ABW,0.0,0.0285953461880246,0.0,0.0,0.0267416165854338,0.0,0.4361120412580297,0.4954806520818917,0.01307034388662,1716353.9491282736,125529.67717938824,7.8908575505705905,1,-1.2089043878597965,1.9967195714174504
AFG,AFG,0.378363880110216,0.0279926882894087,0.0232757959554073,0.0324862204304439,0.0947646794026218,0.0016134734776299,0.0611598048718575,0.2660495475546896,0.114293909907725,47774753.0662068,5239884.881674454,12.319034019200087,2,-1.121901025739019,-0.7702246823914923
AGO,AGO,0.1413152851226269,0.1067311306536122,0.0081910444065787,0.3809522091054805,0.0689731445135057,7.8076473545824e-06,0.0473942550331573,0.1981916887817651,0.0482434347359187,93369995.7096732,-16063194.41812238,-14.678539846424886,0,1.5869093466205062,0.2573544712909307
ALB,ALB,0.1353542853726462,0.0781692602703229,0.0261884158353914,0.1261085510022876,0.1616777314576181,0.0020168446221205,0.0,0.373983194014548,0.0965017174250649,11111707.268896371,-1024536.3585396986,-8.441956094417531,0,0.0428437397512761,1.3570523950246045
ARE,ARE,0.0048896195780837,0.0029463494905409,0.065150827498138,0.3143100530543445,0.2620612186469006,0.0,0.1877884833957356,0.1471924468940499,0.0156610014422065,437054861.9198544,37711278.74208796,9.443316565149592,3,2.6844379136779764,-0.9079305680982732
ARG,ARG,0.3026931888953325,0.0899451475076237,0.0433635868056151,0.1564132257925835,0.0724722822236581,0.0006913177948643,0.1082806989844306,0.1990793087219066,0.0270612432739853,463406268.9835172,38799319.75650936,9.13770248629776,3,0.7288844130136741,-1.2556563657889137
ARM,ARM,0.101208373751919,0.2257539555084253,0.0330110909980144,0.0422322208869741,0.0607814425566155,0.0763721549915032,0.1285616323398199,0.2818332278061989,0.0502459011605293,13327155.697715688,2660741.1790114325,24.945038225784764,4,-0.9898088787465064,0.1101604925713755
ATG,ATG,0.0158384990539754,0.0287181359087377,0.000508470294994,0.0,0.0094228208897568,0.0,0.276371057790254,0.6246379526489191,0.0445030634133628,1043826.7588595996,144271.1806235814,16.038050801317876,1,-2.214634404635032,2.022376272409554
AUS,AUS,0.1527156473512363,0.0429028114805748,0.0189233362013479,0.2487445723660427,0.0877690483322273,0.0133505860717728,0.1990556787761702,0.2190285163951532,0.0175098030254744,789368731.4671799,35515992.178465605,4.7112639282807605,3,1.218404453600192,-1.0694187407607063
AUT,AUT,0.0772153807005958,0.1055983643408318,0.0221651324556134,0.1028546814370051,0.2920433853382661,0.0024779398818524,0.1338141530362433,0.2234456254237454,0.0403853373858463,80530835.21993318,-5710197.385702372,-6.621207113572096,0,2.1110679951243,1.1664952334299392
AZE,AZE,0.0566742740780295,0.1252483262009598,0.0242612204016806,0.3801359331276506,0.0479764944144469,0.0005360818414688,0.1681917177609236,0.1617222886805724,0.0352536634942675,91958686.53398204,15633499.89834848,20.48275358038855,3,1.077678777874058,-0.8576323604827637
BDI,BDI,0.5628622235909017,0.0866035921703806,0.0263882705577167,0.0,0.0152899156121857,0.0009196764306516,0.0121949656717533,0.1570487383722294,0.1386926175941805,12794025.009466637,3149150.986370962,32.65103285776451,2,-2.1670307780501146,-1.463652055801742
