iso3_country,year,sector,gas,emissions_quantity_units,temporal_granularity,sector_emissions_quantity
ABW,2023,transportation,co2e_100yr,tonnes,annual,758552.0974904625
ABW,2023,waste,co2e_100yr,tonnes,annual,22468.77859024011
ABW,2024,agriculture,co2e_100yr,tonnes,annual,0.0
ABW,2024,buildings,co2e_100yr,tonnes,annual,48235.84555850621
ABW,2024,fluorinated-gases,co2e_100yr,tonnes,annual,0.0
ABW,2024,forestry-and-land-use,co2e_100yr,tonnes,annual,68675.89889000001
ABW,2024,fossil-fuel-operations,co2e_100yr,tonnes,annual,0.0
ABW,2024,manufacturing,co2e_100yr,tonnes,annual,45898.07923248353
ABW,2024,mineral-extraction,co2e_100yr,tonnes,annual,0.0
ABW,2024,power,co2e_100yr,tonnes,annual,750475.624275612
ABW,2024,transportation,co2e_100yr,tonnes,annual,860846.0151243098
ABW,2024,waste,co2e_100yr,tonnes,annual,22469.070882433236
ABW,2025,agriculture,co2e_100yr,tonnes,annual,0.0
ABW,2025,buildings,co2e_100yr,tonnes,annual,49079.73535650622
ABW,2025,fluorinated-gases,co2e_100yr,tonnes,annual,0.0
ABW,2025,forestry-and-land-use,co2e_100yr,tonnes,annual,0.0
ABW,2025,fossil-fuel-operations,co2e_100yr,tonnes,annual,0.0
ABW,2025,manufacturing,co2e_100yr,tonnes,annual,45898.079232483535
ABW,2025,mineral-extraction,co2e_100yr,tonnes,annual,0.0
ABW,2025,power,co2e_100yr,tonnes,annual,748522.624275612
ABW,2025,transportation,co2e_100yr,tonnes,annual,850420.173917407
ABW,2025,waste,co2e_100yr,tonnes,annual,22433.336346264874
ABW,2026,agriculture,co2e_100yr,tonnes,annual,0.0
ABW,2026,buildings,co2e_100yr,tonnes,annual,12322.199538626555
ABW,2026,fluorinated-gases,co2e_100yr,tonnes,annual,0.0
ABW,2026,forestry-and-land-use,co2e_100yr,tonnes,annual,0.0
ABW,2026,fossil-fuel-operations,co2e_100yr,tonnes,annual,0.0
ABW,2026,manufacturing,co2e_100yr,tonnes,annual,11337.661408517812
ABW,2026,mineral-extraction,co2e_100yr,tonnes,annual,0.0
ABW,2026,power,co2e_100yr,tonnes,annual,181036.94075182703
ABW,2026,transportation,co2e_100yr,tonnes,annual,251273.34081477983
ABW,2026,waste,co2e_100yr,tonnes,annual,5574.68923667884
AFG,2015,agriculture,co2e_100yr,tonnes,annual,18705508.37574793
AFG,2015,buildings,co2e_100yr,tonnes,annual,1363937.936488787
AFG,2015,fluorinated-gases,co2e_100yr,tonnes,annual,466886.0266569998
AFG,2015,forestry-and-land-use,co2e_100yr,tonnes,annual,-11998263.269625317
AFG,2015,fossil-fuel-operations,co2e_100yr,tonnes,annual,1224701.627758107
AFG,2015,manufacturing,co2e_100yr,tonnes,annual,3117134.091757001
AFG,2015,mineral-extraction,co2e_100yr,tonnes,annual,65226.18400546644
AFG,2015,power,co2e_100yr,tonnes,annual,2368312.4480908043
AFG,2015,transportation,co2e_100yr,tonnes,annual,11451393.510665707
AFG,2015,waste,co2e_100yr,tonnes,annual,3771767.983361542
AFG,2016,agriculture,co2e_100yr,tonnes,annual,18496897.773565285
AFG,2016,buildings,co2e_100yr,tonnes,annual,1192996.6531518216
AFG,2016,fluorinated-gases,co2e_100yr,tonnes,annual,533029.8572849998
AFG,2016,forestry-and-land-use,co2e_100yr,tonnes,annual,9995640.047692979
AFG,2016,fossil-fuel-operations,co2e_100yr,tonnes,annual,1387569.8171906928
AFG,2016,manufacturing,co2e_100yr,tonnes,annual,3281190.833780259
AFG,2016,mineral-extraction,co2e_100yr,tonnes,annual,74546.40083726084
AFG,2016,power,co2e_100yr,tonnes,annual,2352941.242856072
AFG,2016,transportation,co2e_100yr,tonnes,annual,8127209.558752482
AFG,2016,waste,co2e_100yr,tonnes,annual,3974537.719035201
AFG,2017,agriculture,co2e_100yr,tonnes,annual,18173343.515815705
AFG,2017,buildings,co2e_100yr,tonnes,annual,1126393.1730398827
AFG,2017,fluorinated-gases,co2e_100yr,tonnes,annual,598320.2161909996
AFG,2017,forestry-and-land-use,co2e_100yr,tonnes,annual,-15011069.565531049
AFG,2017,fossil-fuel-operations,co2e_100yr,tonnes,annual,1491910.1444899705
AFG,2017,manufacturing,co2e_100yr,tonnes,annual,3724798.1169626517
AFG,2017,mineral-extraction,co2e_100yr,tonnes,annual,75712.7370948569
AFG,2017,power,co2e_100yr,tonnes,annual,3062361.9409691505
AFG,2017,transportation,co2e_100yr,tonnes,annual,7852336.989687432
AFG,2017,waste,co2e_100yr,tonnes,annual,4155038.8881980353
AFG,2018,agriculture,co2e_100yr,tonnes,annual,18832466.98955632
AFG,2018,buildings,co2e_100yr,tonnes,annual,1327451.4327181904
AFG,2018,fluorinated-gases,co2e_100yr,tonnes,annual,678256.0875429999
AFG,2018,forestry-and-land-use,co2e_100yr,tonnes,annual,-6005288.243249974
AFG,2018,fossil-fuel-operations,co2e_100yr,tonnes,annual,1546900.6293754843
AFG,2018,manufacturing,co2e_100yr,tonnes,annual,4148774.5968344486
AFG,2018,mineral-extraction,co2e_100yr,tonnes,annual,80373.19282800984
AFG,2018,power,co2e_100yr,tonnes,annual,3293059.906373391
AFG,2018,transportation,co2e_100yr,tonnes,annual,10337151.736901265
