iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date,year,source_file,source_folder
AGO,power,electricity-generation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,4576817.0,tonnes,annual,2024-04-18 19:20:28.62631,2026-05-18 14:20:13.779009,2017,electricity-generation_country_emissions_v5_7_0.csv,power
AGO,power,electricity-generation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,3964458.0,tonnes,annual,2024-04-18 19:20:28.637807,2026-05-18 14:20:13.779009,2018,electricity-generation_country_emissions_v5_7_0.csv,power
AGO,power,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,4458222.0,tonnes,annual,2024-04-18 19:20:28.649907,2026-05-18 14:20:13.779009,2019,electricity-generation_country_emissions_v5_7_0.csv,power
AGO,power,electricity-generation,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,4269965.0,tonnes,annual,2024-04-18 19:20:28.661314,2026-05-18 14:20:13.779009,2020,electricity-generation_country_emissions_v5_7_0.csv,power
AGO,power,electricity-generation,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,4321027.0,tonnes,annual,2024-04-18 19:20:28.672958,2026-05-18 14:20:13.779009,2021,electricity-generation_country_emissions_v5_7_0.csv,power
AGO,power,electricity-generation,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,4413192.0,tonnes,annual,2024-04-18 19:20:28.684395,2026-05-18 14:20:13.779009,2022,electricity-generation_country_emissions_v5_7_0.csv,power
AGO,power,electricity-generation,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,4413192.0,tonnes,annual,2024-04-18 19:20:28.695732,2026-05-18 14:20:13.779009,2023,electricity-generation_country_emissions_v5_7_0.csv,power
AGO,power,electricity-generation,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,4425747.0,tonnes,annual,2025-02-28 00:00:00,2026-05-18 14:20:13.779009,2024,electricity-generation_country_emissions_v5_7_0.csv,power
AGO,power,electricity-generation,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,4413192.0,tonnes,annual,2026-01-27 00:00:00,2026-05-18 14:20:13.779009,2025,electricity-generation_country_emissions_v5_7_0.csv,power
AGO,power,electricity-generation,2026-01-01 00:00:00,2026-12-31 00:00:00,co2e_100yr,1126071.0,tonnes,annual,2026-04-28 00:00:00,2026-05-18 14:20:13.779009,2026,electricity-generation_country_emissions_v5_7_0.csv,power
